VideoID,Uploader,Age,Category,Length,Views,Rate,Ratings,Comments,RelatedID1,RelatedID2,RelatedID3,RelatedID4,RelatedID5,RelatedID6,RelatedID7,RelatedID8,RelatedID9,RelatedID10,RelatedID11,RelatedID12,RelatedID13,RelatedID14,RelatedID15,RelatedID16,RelatedID17,RelatedID18,RelatedID19,RelatedID20
vqUEy9BNyIs,EA,748,Gadgets & Games,57,274186,3.33,1636,288,Cc76URV65XA,YfSyM9nqZao,kpO-ybaHUlE,kQjb-HF71YA,vqUEy9BNyIs,HQ-nC3cCqMM,o9iXOYIF8XY,lO94JNGTp0M,TJbM3zZobmc,uvEBaeUQIwo,h7j_M0p2op4,YGawVEU2Z2k,q0UePmKKHTI,640JTd74JE0,SQI9xPF9rdk,U0raaoN6I6M,4q5jSGOcZb8,vURuMxGC53A,1umiJrKfpdk,AYNFCy6hvFQ
nbgg3_0oUe0,nabildo,747,Music,170,48417,4.16,161,78,ZCJd0njJmCI,7lWlK9v3Wsw,LH0tbVwN39s,UofciXVJWyk,QW-NHlJTxok,QceYGj9ZJc8,tVUHMhW1snI,7GqwXSaG20g,9Ni40x_EX_E,sFgt2oh2x_E,iTsvI1J-YcY,J7rDWl-DGnU,GkJgroX-30s,QT3vwl2-Gw8,QRSNI1VGOm8,2vF2P1cYOrE,sey3ifqa7po,KV6TtuHW2tY,rCgYJ6WMNqQ,npCw58UkP0w
fWzCdxhgFEU,Atvaark,748,Film & Animation,299,41619,4.44,131,112,FA0s7NvCCeQ,O-Q8Milxcjg,kX7FiaJUq5Y,DBoGL7lf6Zo,wZm52UrkDpA,_XqzXxEwnG8,iFAIweoRzr4,9Dumb3gTjZQ,oZ64EZxo0dk,3xP5VTDuR6s,2RMFADgrFKE,Sl7a9oDrTKM,FXfG9iWg_wA,afyNbog-MCg,D3wQw17HbKg,kYaiMr4FYp8,PTLT817Xqhc,_CllzLcwmSc,UyIhxxvvy1Y,xs5aKQV8hMg
cIkFMtiBN0A,Zer0ph34r,747,Comedy,23,38080,4.49,262,65,5CSfTMHbPbE,hWuDQylyleM,ezmM1WnkbmA,FGebkHYxrmg,WGZSuAn353Q,y1le4Fh4KKk,dMBvL58NKYM,ljs9Vru4h7I,G0uIH3S4AOs,SpdNDuz9P3Y,1wFEUOQ2NHA,Oal_bfrqguo,eo6sxMdNGZQ,2Fzv38r2UtM,LksRpgZbwXY,JGTQIhd3jEw,mnVFKUxJ0qo,i4wkwBRTilc,24Bih9hKU5E,yPjplnt3nQg
mJgB3_UNwqU,RobinThickeOfficial,748,Music,26,36140,3.89,19,11,zM0j34Ifio0,O-G9ribvZO4,nz08tUWhfRk,z8ZJZODw9W8,JeXiiWrS32s,go8KcIOvO2s,Lxz_iYLDrdg,Sp9FlQ9frUk,G_sR_2-26iQ,LO-bxTiTtxQ,0ySuOEydsWM,Yad8YeIIcdE,ZjV07LXHQcA,quTVPf7CsY0,nNg0ReHeTiM,dXw9na5FOv4,Kj0BzjhLuhk,JgiquShxED0,1j-QdSfYK2U,2kMIO31Hu60
yV2c3jXuEz4,chorest,748,Comedy,47,26289,4.59,97,23,OV1AmRXZuGg,jnpg9hlJOGw,1DiRUWcd29Y,nffSO34oc1o,R7RWQSpArm8,TO5eFEciiDc,62TOijvNc2I,l1sNjGoo1KU,7Qpsz_0_bYQ,-JAbcOaA7Yw,jJkbojq1Z8M,Md3woqSU-L0,70_vTUs1WnE,jymHWlJCQKo,SambEUIjN30,Hyu9HcqTcjE,YzfOBvbxRi4,-ZK8oNkxXNA,TQRaw5y6HxA,Y-EFpmr5gQw
oidjn4V20ec,specialgirlsasiana,748,People & Blogs,26,21409,3.06,18,5,R8jMYIQ6R8I,UYUv6B6XFBg,n_Y9wK_Ar0s,_3BF_OKqcNs,NhBm75wrJU0,YdHaXitdMbA,xhIaFHUch6M,6uzTAGATpcU,V0T12FB0SWk,LYQ5345c_K0,HGWwYPIJhqw,1catdKNwPC8,qBenelRczkk,5rybE6bWYYw,yNF5cJ_Rbx4,BG_6G_S7-SI,vclyFheFU7M,t5SH_EpNPA8,kbUn3f_v6SM,tIekA5Zt9DQ
LhUWDCpn9ig,desheik,747,People & Blogs,155,15374,3.83,46,34,dyPhCO3LrtQ,tyWpidFNpK0,eYKIWe_P6VE,fhukZHdl_Kg,j0ks9jgIIA4,Pne9ByIYh6Y,x1YOMn9WB-M,QKXzvNaQVqI,BHUkBNcJeHM,xeZ8_4GFZBo,YeXYiqCP2so,kXaBMCwrM_E,UODhZUpiYzs,FYf9fltUfOA,SSkiuZs0lmk,cDkthVC6mdE,J9VAGaKa4J8,QYXRYvduP4k,VL2nqnEqYP0,pocrj_cuTK8
SX0UDomlecE,wowguide111,749,Entertainment,156,19290,4.29,7,5,FWXz-ZGz39c,IM0iAn2qLgg,5JPwlwRDIN4,lGAa8y5akIw,-xX8ykQJQx0,LuO6s7hCOF0,f703echczPM,V3z9t7_cs5M,Ci4aNoBDS5U,5sy-jYH7zFc,juOSyHiByeM,UuRvQpoYqRI,nMqjihe5gwY,VKuXq6naqzE,lvUttCx1UV4,MOGXN7ACtZ8,kJBBeA0Rky8,Oa7OruSI784,6wgTnPhZ0BM,xXCDlmmdO8E
dydF793z1sQ,avmania123,748,Entertainment,324,19231,5,5,0,Y4wZCJxcZvk,nck-fvMJjhY,DSXXN3axRrQ,bMg-GDVk-Sw,mmcT524k67o,0deqfA5PfYM,1IePabwdaMA,uRUjud184zg,6i7Iy38eyAQ,4xOWnFy9kZk,fY3U49i8vgc,6cZanNKnlDo,El_RZDKgta4,N7Qa9WN7sxs,dDaw1BKMWq4,b-42wN22IBA,4sDVHaFPFEA,xzB9e01jY5g,,
XS2928ALrZU,burninlover,747,Film & Animation,137,18894,4.52,122,42,6UH0DzLfF9o,54n_WpLCTvQ,MNNKgvLhKfY,R7RWQSpArm8,9SvKa1Y9RK8,rIWjNVmb0lM,KCibwP1sB1I,F7Xan3REM8k,__aFY12dgHg,PzG8F_t6az0,Wxgw4ipmOBc,Tb-ywtN4Z48,CHi5CNpxzFs,GKDCaI0_byM,5HjD_70tH54,Wtb0CiNCRRk,oMopMsuYbVM,KdDWkr7Tfd0,aeBkOpsnqig,doCBJVEq4BA
jOGeiBB2J7A,bolaoito2007,747,Sports,230,18425,4.14,14,8,I78NCWVAT4g,l98YASujwjc,IGqbNgxy_s4,JYhTJn8ixxk,FkVi72ofml0,oqDTkZ5DQ9E,zFnBqZ11kpw,U2zf3_O5H5c,NHkFuv4u0nw,X5RCR-MNSL0,mgy1OeIcbuA,6oty0WW278E,OvkYdkt16yc,_CE7G3ae_Bc,85CSss5vG08,BFgvqQORFvs,M89HBQKE7wA,zq3EteeAr1s,bDCZ6rmoHIg,vM6Z6wfyxS0
o8Hik2h52UU,aksar69,748,People & Blogs,47,18278,3.1,10,2,0utP4ik1mdo,eC1jHHlSiWs,vxXvDugJcd4,5YpJjUj74M0,cinxsjXZbJ0,Bv4niGIYggg,fiLFl2IdYI0,RNs3MH0FQjo,gUiv-gK1wFE,aTeoNAwnKm8,SdDTiQXK8Xs,4-8O0fxa0yE,BV7selErCRg,QIjOAPCZ2wE,yAPaOqND0B0,5mxbFyXfeso,hJql2sQm3-c,CxUaxWZNvxo,PzafeFP6Pqc,VpvouFmvdNM
sGSuctSB4zU,bushbaby999,747,News & Politics,30,17978,1,35,10,Te0Tr7oStUM,ZVAGaJ-IEJg,qdfuzGctGZY,0-N1RzggBP0,T1A1g2x9llg,-_JobC_PDIk,-xK-wDHqJeY,08efg76WEMY,aZws98jw67g,LHj1s_GhVaM,oNcb30tzSGs,saGfByph3fQ,S-blULT0XC0,wtjhuLVssNg,D_hQBwJF5jk,v2XlRjaztHw,ObRJ1b-h7qE,7AyQGJAkNPE,TKOct6j7kRE,aT8xJJQt0cU
fDfcogRnU9o,infelt,749,Entertainment,25,17506,5,22,22,RlNWvUJe_Fo,Bxxmab1uDoA,3vGlshcQehs,adxGa3IFOnw,WkY4gKaPNBw,mjxpEXSXspk,ek3L0KcclqY,itW9Hblxld0,vHSYUSxCeTA,aYFx_DPW080,qnuyyluomu8,FZXEFltSeZ0,VGbo46wjZ-w,SL6-rfzpfl8,D_vFuZbEdVY,MP5W5481fJQ,t9GKZfmiJlQ,G6WRz9VY9_4,s360F8siQyI,q3U9quR9tSQ
mGbhKQlUhLo,boringcrap001,747,Autos & Vehicles,570,17082,4.51,43,45,qyrhSaT0ucs,WNjwCZR7cgw,z1hkxwyvyCA,cEK_Qa5lrZk,uuuApoPa9r0,FhGZ4qSIP98,gBSDy1cMsdA,kAVCcHFam7Q,aTN89LxRBbM,njdS9clpOZM,lcs662uA7zY,bnzvf85UMAQ,wE925jbUT7c,kccP4tglQeg,m6BTrKmyAAc,DmZZ2XYq3yM,KjZub6AOue8,76iPBf6ybpI,QBkGwlvCbH0,7uaFfFU2RyQ
X37ZBiOrcyA,UltimateKeliss,748,Entertainment,103,16122,3.33,9,7,e-mzjDu_q44,Wb5EJnebqJA,k7u_YUI7Uyc,2pyEzTwnFH4,XMELA2-Jk24,hKHER9JvkSQ,eL5JqFhNzsE,NRHz_aGzEGI,F3yRbp7Rhcs,_YtyHdj19pM,MsCnzMRQq58,1P-VRAMD0-A,TCXZGtu-X0g,VoYXzFblq6g,z5kHF4IKgWU,3L7ZTHjrTDU,1BOJxSc_oII,KQGjTVZC_Ss,gr8ROm61qrE,MT7CV-9pA3E
uB_NWw_Q53U,AllHipHopcom,748,Music,356,6329,5,2,5,De62x3Qt2Bg,BOYn0WSveq4,XmLrCjdRB6c,iT9fLBxjJPo,LeiENOHXIM4,vOzUqx_F_5g,8Te_WNOQw30,wqYQWcU1GVY,L4wHYur-N-I,4xQAZhb0S0k,XA4rcb5fmog,QDc7YCTD_HY,W16kR4wcN38,SSg0yFjEImk,jnMQMV3MbxA,J8cj1tsNbcA,F7cjZmUFDBg,QIi9Y00yolA,wT81XgU2etk,7a0Pl5pTMNk
ibyESL7oD6w,FlashAndEscape,748,Howto & DIY,276,15245,4.25,24,35,Jw4VT5qiZvc,rvyX-xMp5VQ,2RU6CbxdiDA,SSD7eW2gLrE,-xBwn2mhw6E,dF2SrFimH7g,nIq_HI05c98,0FgzrhPw4jA,dyPhCO3LrtQ,JXqTZZ4UycM,EkIodMczZ7Q,WDBAG0KPLcs,FCrVcGw9ZPI,hOel4s77F6A,yQyCKJLgcJg,t0BaqfLSzkg,XYqUFkTCpXo,7NMjP0EY1Ro,K_IIivhB7mA,nujY9pF9vtQ
fIqmu5LVrs4,temairi,747,Music,245,14062,3.96,79,53,3MPH_Tj6kGc,wfUJoh05BEg,bsDKelHlXZI,bUsS3wSiR0w,waqH_EQypXg,dP8Cgfqdfv4,QP9kN7OPqa0,aR2a-ojvNYc,W-djXW1Ueso,KjgtY-0vHhU,NrTqXD8einw,UzP_UYvb2j4,I-evJh4u00s,Dy-uHYnBNoA,q1AHYi8Uvic,PvGfqJLi8ts,ay1Gl9si_js,6YdpQOcriEY,rImNmMbgaOw,NoeFVpnC9lE
NblcL1OTbIw,everlastingsmile77,747,Entertainment,654,13849,4.84,88,45,D1lB01T0Lvg,jZ8ocUKgaEs,Gr-COgwiwgM,8ac6r0_fN-M,qT0hJgi2bWU,wqyaLJvG9WY,2bZKXQKT5mY,741t2WTg3nA,NrsHlvr8Hts,nYedL2M9aHg,lgOzCsFz36U,hsnk4qY40oU,Vwvnh58R4Bw,q2qYgsHVbkM,2xsOtX_-PoQ,c-IeYKNAwhI,ICbDZlMOIXk,HbikzB9KLds,7lXV4VF0k0s,vP339HdokT0
pr_hS6yCTKI,hockeyfightsdotcom,747,Sports,24,9682,4.81,26,6,ur1KEIo4aUA,uYcGxKUCp_k,FlBsBUQ7PhQ,lfDKkKC4jgA,zrmxplroPiY,rByVy0cJOzs,fU5-HJ9IDOE,GFECiJ8miAE,HxRibMXXN88,cpl0_rZqm50,yCFWSnFHscQ,hUWpV8NA24U,TFL60rcMFvs,gFYatEZlzT0,JSuMESRj7zM,f72tU_5th5A,vGq4pXkWavs,L4ym2er88cg,KsT8oc1Mk7s,JRSgGPsCCaA
IB0RmiY6Jt4,THEUSEDCHANNEL,748,Music,161,11199,4.86,21,40,gANtV_Zt0pA,kBkmk4Eqbt4,gUb0IqFFmyQ,7IHDbm4wXks,DoyzFb4mThc,g-Jl5XZPCVk,9Jh4PxRz5BU,fiDNKjnN-Dc,UMxux0aHQi8,hR2fkSIPOeM,7hJ4933N5Gc,AX8xVp1qeRM,ABZssVa0Geo,v5p7tKqwBv4,mS7ZS2Va90Q,YC8dN2UdsYk,GeoQAH72_bs,AsnxZvJJ16I,rMLcAW-Mbt0,-fdEEzqSypo
AxYYEigZBk4,HaniHajime,748,Pets & Animals,55,13420,3.7,10,0,AKjdCD1JzHo,xyQ63M3yau8,KQ7zsH8qQEY,MEMwNmJirIQ,Mn3ST52nHrQ,-HTd9vxPc_8,oQY2e0bte1M,cQbey2ibyuo,UCP-Ctdc1Nk,-dtIVsWsgnI,KVDKSHt8vo8,09aZ4V7BKJo,RyA9sO3PxyA,2QdO54QXd0A,_4Iv9syEBUU,pLkAzR9gPU4,4_mmqGRNzD4,h27CyfxUbdM,SmSdunJPyyE,aSvbkNpcjps
H-FkSUZFhlk,danipierra,749,Entertainment,208,13020,3.76,17,30,zOKFi6pLcqI,lW19DnWz6vg,cHhInJ-qd_U,xL4bmHqaGuc,lys9Bh-Yvmw,ilR5-7b_J4I,dCm9pVn0fP0,pqO_eiVtVnA,6hmcG-54_ps,cSEU3F4Suto,VPJya-HT4ng,zecTBvfo_mY,q527MkRzw_k,XaUoLJNNjr0,ru86GYZ9YDY,g0NpuYkkBKU,lMSm27ZiRLA,ugYkSyZxK1c,SdE5F6UlpAM,4vAMWCS2GGE
l_E4uXJz48k,everlastingsmile77,747,Entertainment,656,12800,4.84,89,11,D1lB01T0Lvg,jZ8ocUKgaEs,Gr-COgwiwgM,8ac6r0_fN-M,qT0hJgi2bWU,wqyaLJvG9WY,2bZKXQKT5mY,741t2WTg3nA,NrsHlvr8Hts,nYedL2M9aHg,lgOzCsFz36U,T9KcqniBKII,hsnk4qY40oU,Vwvnh58R4Bw,q2qYgsHVbkM,2xsOtX_-PoQ,c-IeYKNAwhI,ICbDZlMOIXk,HbikzB9KLds,7lXV4VF0k0s
dHvLsh-h0NM,bopepper,747,Music,178,8119,4.71,7,2,Nl4jWbCJN5E,QajsHtMNYBU,X9Zgnlp4eHk,XSS5VFFR5wI,u3NFEuX8XRg,ulxaURS7pi4,ocAY648fMnE,EVsl4MEviCQ,9avFPVSY4oU,WQ03t29Bq2A,v9MAhp4aILc,g0Rp4gdbT_g,9GHzyTvkGzk,Iho3LEZfIw4,uYCXfC8zsJw,j54q81snR-s,_BtK9cSjAiY,v9FHn-2a6LM,hAAgfY_NHzw,vlborm2YAW0
v-sc0wG85zI,oneminormishap07,748,Comedy,97,12612,3.54,35,15,qatOFKmLoN4,hvgU6_E-NsM,3ue-sLFdRMA,xPECfM621Ws,DRXn5UCmwuU,_To9I1-XUwc,MRTRjyQ2650,NRHsOdxOrAk,scuqPFTSods,E_nM4cKVdok,Wo-pboUyIRQ,GXCTfk7Gl7o,UjYvKPh8geM,-xX8ykQJQx0,-hYi6CpNYGw,b36Zg7yXfEg,5wwfMuLi6lE,0aonnd4bTts,LuO6s7hCOF0,Hoscbclkql4
cLTw_LMO2us,addict2ad,749,Entertainment,35,12534,5,1,0,n0tzEuf2GwM,zWZzsxgH2gY,N6voHeEa3ig,B2froiUsU4U,MC--VwYTHAM,D_-Uomo9Io8,UOEArhmJFu4,_x2-AmY8FI8,3umKwji6ncw,1KXnxth-5d4,pkPIBc1AFjI,A7NYB4SPTJk,rL9ihXiFAko,3T_Nhy_QEDM,Rj2tix3uN9c,Jk31242CnkU,PTU2He2BIc0,5ZXZDvHo5Go,Rc8C0oKXbWk,SOGvFCaGGOM
IQ_FkO_jDtk,WilliamSledd,749,People & Blogs,448,12248,4.35,414,392,AVESRceJL5k,UX2hVJQrKpo,PFGIEYvBVy0,EZYQSEIMkXw,n31jN99EFro,JC9Zj4caOv8,xV5E9afFf50,v5xNt2BRUBo,sQ0PFrlax2w,t7Y4zrmDQkk,NN_Iy7qN5R4,ndzCLko85sQ,64SnR1d1R5o,gyPOb7scufA,gzkWVWopcPA,6qCalw_8feQ,BKO5QRVDGLA,JpI_UsLizyo,k0VB0_tdnMA,d3_UWLCdysg
LUZ7Q55n5I8,xeo15,748,Comedy,60,12247,4.38,26,11,xbV8M0wEuRQ,RNXqmSb9Imc,wfg-qn8e1GY,V_UJimKW5YI,7s1AimFJ5aA,nfDdak2op3A,BT0lGPST69E,lb1NN5N-104,TSvCzMy-HWI,GtBBrSkwDz4,O77G6PKtdIE,lXJcHMNdtKI,hL71OUetUmg,,,,,,,
AQYFWyqM6NE,MuscleHead570,747,News & Politics,83,11899,3.57,28,62,MebGHNai8hE,EpJDU7IaFxk,MujE7PJna-c,3vrL3NYerFI,Sx9Bi3C4rs8,ZgSBhlw-o9E,KmLJDrsaJmk,iM7MR5_v47w,vIsvMSEYiK4,uxgVuB3TyaU,4xv05FK69KU,4aiHbUplz3k,SCeqZLrhkvQ,X5z5-EYaALE,F49e64yq8lI,D_YzbODb9To,XukNaP7H87o,84EjWeTMBZs,1YyjrhvmDM8,UB9UE5eE2_k
NKphfN-D8oc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltsgkSjkG4o,masun2,748,Entertainment,95,11559,4.71,7,4,mTmdbYNWzCw,xLjlbWRPlX8,TiD4ibyiDUs,42mIT1hxTzE,QU87NCYXaXU,_3jswm_k6aM,lj-t_-Vel5U,_9TKqWH2nnE,Ygso6r2TeG4,pDLQKBN32DY,XEObG78aRoE,_NXDM9XXhQ4,ubbFBY2opvk,RTHOj1_NU44,gEyADZzCi_A,W5sKkoggkZI,7bCqA0uwTlA,7ZPLV1GHddE,-x1875m-Uj4,gAqaUeT8ZjA
BC36ugYbIP8,yester78,748,Entertainment,126,11342,5,21,15,iZRoVli_zeI,iiEGUTdtsmc,WO6LdCcK4_0,gaFQQMFaEGo,K7k4fkUIZSE,B6YEPGY0HRE,EQoMPSxWrLA,5NvhRYmAm_M,U4Zbjxx-iQY,Qiwzn3CMFfw,OYESlrGOTJA,Sb_JHbfycd8,yr_QFQth8kY,r4teC4XF9IU,70Fy6irsVdU,_vcIP94maHc,s8l-2w21_9o,PJzbpC22gQs,-8DJ8XIPjLw,OUdw5ATw-kg
Q6AOCMhgAU4,everlastingsmile77,747,Entertainment,658,11067,4.97,90,22,D1lB01T0Lvg,jZ8ocUKgaEs,Gr-COgwiwgM,8ac6r0_fN-M,qT0hJgi2bWU,wqyaLJvG9WY,2bZKXQKT5mY,741t2WTg3nA,NrsHlvr8Hts,nYedL2M9aHg,lgOzCsFz36U,hsnk4qY40oU,Vwvnh58R4Bw,q2qYgsHVbkM,2xsOtX_-PoQ,c-IeYKNAwhI,ICbDZlMOIXk,HbikzB9KLds,7lXV4VF0k0s,vP339HdokT0
KrpEASRqR3E,rtpsa,748,Comedy,50,8017,4.17,12,4,lgvmfTlAcaM,yLLeE0-j9vg,-MnegFmw04A,4EzjsZ7HSq0,WCm-iABU1o4,7R0GO5mQ6mk,3U3Bdp-crNE,IkU9eJ7ntTo,gUtciogxLTU,mSJ5cQkJ_Sw,YRBICdBiAmE,14yM2ioAHRc,X82tIdr8gMM,JmkLahnDxKU,I5pOA1jz9FM,gs7dILL3I3Y,G37bO5dGvmo,HFBktlZIWLQ,rCHS7LsYD4s,dhkPFRofM20
tRdXUJf4_zc,ysabellabravetalk,747,People & Blogs,42,10786,4.69,83,76,fcy8QcS21PA,LkozHoUkNwY,Q8DOtw7RSxE,fNpCKIC1BOw,Hnq25ZpisSE,tCkv5ftig8k,LSKgFqisXRo,iIyxEmoH-QY,I5mRtaBFbRI,G8q5QQZw9Ps,rRAVoyUCxz8,OywVRZJYO7A,g2EFtGeX6D8,2BVgnJeIsXk,0jI4U9iemeA,R2N4Poj2bh8,5qJVsCRU8-M,mEieFuIWPYc,0C-l1PtMIKI,pLh-cod0cjU
1ilFHW2Po3I,blucuttie728,748,Entertainment,601,10736,4.8,35,25,WZk4z-e-NfA,z5w2nTvdW-0,J6MacHEw9Yk,45z-GzImeFM,3vGlshcQehs,5UIie5yXYgE,yAhWgdBmRTA,adxGa3IFOnw,WkY4gKaPNBw,mjxpEXSXspk,itW9Hblxld0,vHSYUSxCeTA,Lv_vfqbPOA0,KnV-C2WNSCg,BH93Ly68YIM,xwR4QknDr54,AZ4Sl51BOZA,Z9BmHAv_Q2E,mtMx6Kw0YnE,F_5Atdx6zNk
u5r4Wbk87wM,hockeyfightsdotcom,747,Sports,53,8235,4.89,9,0,fyPp-DEgL8M,3X-sozBL1g0,su0U37w2tws,Dr08SIHELV8,7mDIgUTQRew,vjm2hIm8gVY,22W38jJk81s,xxdVVIx8gF0,QdmfJJcLZaU,yHLr5AYl5f4,qktlKPSW8M0,Pst-2wprw6c,yUL8dEroAY4,IcsaBKoK9-o,ogRU8SSAF1A,HRyC2XmYXVk,40qihGbngJg,0HQHLGwlhPk,RuG_316cPMY,IFfdnFOiXUU
